N°, Cur[mA], ADC2[Vol],Date, Time
504,-91.00,203.00,20/7/2018,12:35:47,
505,-92.10,203.00,20/7/2018,12:35:48,
506,-92.60,203.00,20/7/2018,12:35:48,
507,-92.60,203.00,20/7/2018,12:35:49,
508,-92.70,203.00,20/7/2018,12:35:49,
509,-89.80,203.00,20/7/2018,12:35:50,
510,-93.20,203.67,20/7/2018,12:35:50,
511,-91.50,204.33,20/7/2018,12:35:51,
512,-92.40,205.00,20/7/2018,12:35:51,
513,-94.70,205.00,20/7/2018,12:35:52,
514,-89.30,205.67,20/7/2018,12:35:52,
515,-89.70,206.00,20/7/2018,12:35:53,
516,-91.00,206.00,20/7/2018,12:35:53,
517,-99.40,206.67,20/7/2018,12:35:54,
518,-98.30,207.00,20/7/2018,12:35:54,
519,-91.10,207.00,20/7/2018,12:35:55,
520,-94.50,207.00,20/7/2018,12:35:55,
521,-97.00,207.00,20/7/2018,12:35:56,
522,-92.50,207.00,20/7/2018,12:35:56,
523,-92.40,207.00,20/7/2018,12:35:57,
524,-92.70,207.00,20/7/2018,12:35:57,
525,-100.30,207.00,20/7/2018,12:35:58,
526,-89.90,206.00,20/7/2018,12:35:58,
527,-90.20,206.00,20/7/2018,12:35:59,
528,-95.10,206.00,20/7/2018,12:35:59,
529,-91.30,205.00,20/7/2018,12:36:0,
530,-90.10,205.00,20/7/2018,12:36:0,
531,-92.50,205.00,20/7/2018,12:36:1,
532,-98.00,204.00,20/7/2018,12:36:1,
533,-89.80,204.00,20/7/2018,12:36:2,
534,-94.00,204.00,20/7/2018,12:36:2,
535,-91.70,203.00,20/7/2018,12:36:3,
536,-89.10,203.00,20/7/2018,12:36:3,
537,-91.80,203.00,20/7/2018,12:36:4,
538,-90.30,203.00,20/7/2018,12:36:4,
539,-95.00,203.00,20/7/2018,12:36:5,
540,-89.80,203.00,20/7/2018,12:36:5,
541,-90.40,203.00,20/7/2018,12:36:6,
542,-89.60,203.00,20/7/2018,12:36:6,
543,-94.40,203.00,20/7/2018,12:36:7,
544,-95.40,203.33,20/7/2018,12:36:7,
545,-90.30,203.00,20/7/2018,12:36:8,
546,-92.60,204.00,20/7/2018,12:36:8,
547,-90.10,204.67,20/7/2018,12:36:9,
